#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
88games;'88 Games;MAME (Mame4all);;1988;Konami;Sports / Track & Field;4P alt / 2P sim;0;;good;1;raster;;;;3
99lstwar;'99: The Last War (set 1);MAME (Mame4all);repulse;1985;Crux / Proma;Shooter / Gallery;2P alt;90;joystick (8-way);good;1;raster;repulse;;;2
005;005;MAME (Mame4all);;1981;Sega;Maze / Shooter Small;2P alt;270;joystick (4-way);imperfect;1;raster;;;;1
gtmr;1000 Miglia: Great 1000 Miles Rally (94/07/18);MAME (Mame4all);;1994;Kaneko;Driving / Race;2P alt;0;joystick (8-way),paddle,dial;good;1;raster;;;;2
1941j;1941: Counter Attack (Japan);MAME (Mame4all);1941;1990;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;1941;;;2
1941;1941: Counter Attack (World 900227);MAME (Mame4all);;1990;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;;;;2
1942b;1942 (First Version);MAME (Mame4all);1942;1984;Capcom;Shooter / Flying Vertical;2P alt;270;joystick (8-way);good;1;raster;1942;;;2
1942a;1942 (Revision A);MAME (Mame4all);1942;1984;Capcom;Shooter / Flying Vertical;2P alt;270;joystick (8-way);good;1;raster;1942;;;2
1942;1942 (Revision B);MAME (Mame4all);;1984;Capcom;Shooter / Flying Vertical;2P alt;270;joystick (8-way);good;1;raster;;;;2
1943kai;1943 Kai: Midway Kaisen (Japan);MAME (Mame4all);;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;;;;2
1943j;1943: Midway Kaisen (Japan, Rev B);MAME (Mame4all);1943;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;1943;;;2
1943;1943: The Battle of Midway (Euro);MAME (Mame4all);;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;;;;2
openice;2 On 2 Open Ice Challenge (rev 1.21);MAME (Mame4all);;1995;Midway;Sports / Hockey;4P sim;0;joystick (8-way);good;1;raster;;;;3
2020bb;2020 Super Baseball (set 1);MAME (Mame4all);;1991;SNK / Pallas;Sports / Baseball;2P sim;0;joystick (8-way);good;1;raster;neogeo;;;4
