#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
88games;'88 Games;MAME (Advance);;1988;Konami;Sports / Track & Field;4P alt / 2P sim;0;;good;1;raster;;;;3
99lstwar;'99: The Last War (set 1);MAME (Advance);repulse;1985;Crux / Proma;Shooter / Gallery;2P alt;90;joystick (8-way);good;1;raster;repulse;;;2
005;005;MAME (Advance);;1981;Sega;Maze / Shooter Small;2P alt;270;joystick (4-way);imperfect;1;raster;;;;1
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);MAME (Advance);gtmr;1994;Kaneko;Driving / Race;2P alt;0;joystick (8-way),paddle,dial;good;1;raster;gtmr;;;2
gtmr;1000 Miglia: Great 1000 Miles Rally (94/07/18);MAME (Advance);;1994;Kaneko;Driving / Race;2P alt;0;joystick (8-way),paddle,dial;good;1;raster;;;;2
1941j;1941: Counter Attack (Japan);MAME (Advance);1941;1990;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;1941;;;2
1941;1941: Counter Attack (World 900227);MAME (Advance);;1990;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;;;;2
1942b;1942 (First Version);MAME (Advance);1942;1984;Capcom;Shooter / Flying Vertical;2P alt;270;joystick (8-way);good;1;raster;1942;;;2
1942a;1942 (Revision A);MAME (Advance);1942;1984;Capcom;Shooter / Flying Vertical;2P alt;270;joystick (8-way);good;1;raster;1942;;;2
1942;1942 (Revision B);MAME (Advance);;1984;Capcom;Shooter / Flying Vertical;2P alt;270;joystick (8-way);good;1;raster;;;;2
1943kai;1943 Kai: Midway Kaisen (Japan);MAME (Advance);;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;;;;2
1943j;1943: Midway Kaisen (Japan, Rev B);MAME (Advance);1943;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;1943;;;2
1943;1943: The Battle of Midway (Euro);MAME (Advance);;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;;;;2
1944j;1944: The Loop Master (Japan 000620);MAME (Advance);1944;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;2P sim;0;joystick (8-way);good;1;raster;1944;;;2
1944;1944: The Loop Master (USA 000620);MAME (Advance);;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;2P sim;0;joystick (8-way);good;1;raster;;;;2
1945kiii;1945k III;MAME (Advance);;2000;Oriental Soft;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;;;;4
19xxa;19XX: The War Against Destiny (Asia 960104);MAME (Advance);19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;19xx;;;2
19xxh;19XX: The War Against Destiny (Hispanic 951218);MAME (Advance);19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;19xx;;;2
19xxjr1;19XX: The War Against Destiny (Japan 951225);MAME (Advance);19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;19xx;;;2
19xxj;19XX: The War Against Destiny (Japan 960104, yellow case);MAME (Advance);19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;19xx;;;2
19xx;19XX: The War Against Destiny (USA 951207);MAME (Advance);;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;;;;2
openice;2 On 2 Open Ice Challenge (rev 1.21);MAME (Advance);;1995;Midway;Sports / Hockey;4P sim;0;joystick (8-way);good;1;raster;;;;3
2020bb;2020 Super Baseball (set 1);MAME (Advance);;1991;SNK / Pallas;Sports / Baseball;2P sim;0;joystick (8-way);good;1;raster;neogeo;;;4
2020bba;2020 Super Baseball (set 2);MAME (Advance);2020bb;1991;SNK / Pallas;Sports / Baseball;2P sim;0;joystick (8-way);good;1;raster;2020bb;;;4
2020bbh;2020 Super Baseball (set 3);MAME (Advance);2020bb;1991;SNK / Pallas;Sports / Baseball;2P sim;0;joystick (8-way);good;1;raster;2020bb;;;4
280zzzap;280-ZZZAP;MAME (Advance);;1976;Dave Nutting Associates / Midway;Driving / 1st Person;1P;0;paddle,pedal;preliminary;1;raster;;;;2
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);MAME (Advance);;1993;SNK;Sports / Wrestling;2P sim;0;joystick (8-way);good;1;raster;neogeo;;;4
3wonderu;3wonderu;MAME (Advance);;;;;;;;;;;;;;
4enraya;4 En Raya (set 1);MAME (Advance);;1990;IDSA;Puzzle / Match;2P sim;0;joystick (2-way);good;1;raster;;;;2
4in1;4 Fun in 1;MAME (Advance);;1981;Armenia / Food and Fun;Multiplay / Compilation;2P alt;90;joystick (8-way);imperfect;1;raster;;;;1
4dwarrio;4-D Warriors (315-5162);MAME (Advance);;1985;Coreland / Sega;Shooter / Flying Horizontal;2P alt;0;joystick (8-way);good;1;raster;;;;2
600;600;MAME (Advance);turtles;1981;Konami;Maze;2P alt;90;joystick (4-way);good;1;raster;turtles;;;1
64streej;64streej;MAME (Advance);;;;;;;;;;;;;;
64street;64th. Street - A Detective Story (World);MAME (Advance);;1991;Jaleco;Fighter / 2.5D;2P sim;0;joystick (8-way);good;1;raster;;;;2
720gr1;720 Degrees (German, rev 1);MAME (Advance);720;1986;Atari Games;Sports / Skateboarding;2P alt;0;joystick (analog),dial;good;1;raster;720;;;2
720g;720 Degrees (German, rev 2);MAME (Advance);720;1986;Atari Games;Sports / Skateboarding;2P alt;0;joystick (analog),dial;good;1;raster;720;;;2
720r1;720 Degrees (rev 1);MAME (Advance);720;1986;Atari Games;Sports / Skateboarding;2P alt;0;joystick (analog),dial;good;1;raster;720;;;2
720r2;720 Degrees (rev 2);MAME (Advance);720;1986;Atari Games;Sports / Skateboarding;2P alt;0;joystick (analog),dial;good;1;raster;720;;;2
720r3;720 Degrees (rev 3);MAME (Advance);720;1986;Atari Games;Sports / Skateboarding;2P alt;0;joystick (analog),dial;good;1;raster;720;;;2
720;720 Degrees (rev 4);MAME (Advance);;1986;Atari Games;Sports / Skateboarding;2P alt;0;joystick (analog),dial;good;1;raster;;;;2
7jigen;7jigen no Youseitachi - Mahjong 7 Dimensions (Japan);MAME (Advance);;1990;Dynax;Tabletop / Mahjong * Mature *;1P;180;mahjong;imperfect;1;raster;;;;
800fath;800 Fathoms;MAME (Advance);mariner;1981;Amenip (US Billiards Inc. license);Shooter / Misc. Horizontal;2P alt;90;joystick (8-way);imperfect;1;raster;mariner;;;2
8ballat2;8ballat2;MAME (Advance);;;;;;;;;;;;;;
9ballsht;9-Ball Shootout (set 1);MAME (Advance);;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;2P alt;0;joystick (8-way);good;1;raster;;;;3
99lstwra;99lstwra;MAME (Advance);;;;;;;;;;;;;;
99lstwrk;99lstwrk;MAME (Advance);;;;;;;;;;;;;;
9ballsh2;9ballsh2;MAME (Advance);;;;;;;;;;;;;;
9ballsh3;9ballsh3;MAME (Advance);;;;;;;;;;;;;;
ad2083;A. D. 2083;MAME (Advance);;1983;Midcoin;Shooter / Field;2P alt;90;joystick (8-way);imperfect;1;raster;;;;2
abcop;A.B. Cop (World) (FD1094 317-0169b);MAME (Advance);;1990;Sega;Driving / Race (chase view) Bike;1P;0;paddle,pedal;good;1;raster;;;;1
apbf;APB - All Points Bulletin (French);MAME (Advance);apb;1987;Atari Games;Driving;1P;270;pedal,dial;good;1;raster;apb;;;3
apbg;APB - All Points Bulletin (German);MAME (Advance);apb;1987;Atari Games;Driving;1P;270;pedal,dial;good;1;raster;apb;;;3
apb1;APB - All Points Bulletin (rev 1);MAME (Advance);apb;1987;Atari Games;Driving;1P;270;pedal,dial;good;1;raster;apb;;;3
apb2;APB - All Points Bulletin (rev 2);MAME (Advance);apb;1987;Atari Games;Driving;1P;270;pedal,dial;good;1;raster;apb;;;3
apb3;APB - All Points Bulletin (rev 3);MAME (Advance);apb;1987;Atari Games;Driving;1P;270;pedal,dial;good;1;raster;apb;;;3
apb4;APB - All Points Bulletin (rev 4);MAME (Advance);apb;1987;Atari Games;Driving;1P;270;pedal,dial;good;1;raster;apb;;;3
apb5;APB - All Points Bulletin (rev 5);MAME (Advance);apb;1987;Atari Games;Driving;1P;270;pedal,dial;good;1;raster;apb;;;3
apb6;APB - All Points Bulletin (rev 6);MAME (Advance);apb;1987;Atari Games;Driving;1P;270;pedal,dial;good;1;raster;apb;;;3
apb;APB - All Points Bulletin (rev 7);MAME (Advance);;1987;Atari Games;Driving;1P;270;pedal,dial;good;1;raster;;;;3
