#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Mario World - Starlight Remix;Mario World - Starlight Remix;SMW-Hacks;;;;;;;;;;;;;;
Mario World Super (SMW1 Hack);Mario World Super (SMW1 Hack);SMW-Hacks;;;;;;;;;;;;;;
Mario's Awesome Adventure;Mario's Awesome Adventure;SMW-Hacks;;;;;;;;;;;;;;
Marios 2 Ways 2 Victory;Marios 2 Ways 2 Victory;SMW-Hacks;;;;;;;;;;;;;;
Marios Treasure Hunt;Marios Treasure Hunt;SMW-Hacks;;;;;;;;;;;;;;
Massimo (U);Massimo (U);SMW-Hacks;;;;;;;;;;;;;;
Mew2's Super Mario World v0.51 (SMW1 Hack);Mew2's Super Mario World v0.51 (SMW1 Hack);SMW-Hacks;;;;;;;;;;;;;;
Mushroom Kingdom Meltdown;Mushroom Kingdom Meltdown;SMW-Hacks;;;;;;;;;;;;;;
Mushroom Kingdom Meltdown 2;Mushroom Kingdom Meltdown 2;SMW-Hacks;;;;;;;;;;;;;;
The Ninji Saga (U);The Ninji Saga (U);SMW-Hacks;;;;;;;;;;;;;;
Omega (U);Omega (U);SMW-Hacks;;;;;;;;;;;;;;
Rob-omb's Quest Easy;Rob-omb's Quest Easy;SMW-Hacks;;;;;;;;;;;;;;
Rob-omb's Quest Hard (SM Hack);Rob-omb's Quest Hard (SM Hack);SMW-Hacks;;;;;;;;;;;;;;
SCORPION'sRavage FULL;SCORPION'sRavage FULL;SMW-Hacks;;;;;;;;;;;;;;
Super Luigi World - Luigis Quest;Super Luigi World - Luigis Quest;SMW-Hacks;;;;;;;;;;;;;;
Super Mario Bros 5 - Reborn;Super Mario Bros 5 - Reborn;SMW-Hacks;;;;;;;;;;;;;;
Super Mario Bros. 3x V2.5 (U);Super Mario Bros. 3x V2.5 (U);SMW-Hacks;;;;;;;;;;;;;;
Super Mario Place;Super Mario Place;SMW-Hacks;;;;;;;;;;;;;;
Super Mario World (USA) (Brutal Mario);Super Mario World (USA) (Brutal Mario);SMW-Hacks;;1990;Nintendo;Platform;2;;;;;;;;;
Super Mario World (USA) [Graphic Hack by Pac v1.21] (All-Stars & Yoshi's Island GFX);Super Mario World (USA) [Graphic Hack by Pac v1.21] (All-Stars & Yoshi's Island GFX);SMW-Hacks;;1990;Nintendo;Platform;2;;;;;;;;;
Super Mario World - 2012 Master Hands Doomsday;Super Mario World - 2012 Master Hands Doomsday;SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - 3 - Islands of Mistery (SMW1 Hack);Super Mario World - 3 - Islands of Mistery (SMW1 Hack);SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - 3+ - The New Islands (SMW1 Hack);Super Mario World - 3+ - The New Islands (SMW1 Hack);SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - An SMW Central Production V1-6;Super Mario World - An SMW Central Production V1-6;SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Archie 2K's World;Super Mario World - Archie 2K's World;SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Bermuda Triangle Edition (SMW1 Hack);Super Mario World - Bermuda Triangle Edition (SMW1 Hack);SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Big Boo's Revenge;Super Mario World - Big Boo's Revenge;SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Deluxe (U);Super Mario World - Deluxe (U);SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Dr.Mario (U);Super Mario World - Dr.Mario (U);SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Expansion Deluxe V2-3;Super Mario World - Expansion Deluxe V2-3;SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Fahhbulous Hack (SMW1 Hack);Super Mario World - Fahhbulous Hack (SMW1 Hack);SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Frank's Super Mario World (SMW1 Hack);Super Mario World - Frank's Super Mario World (SMW1 Hack);SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Hack Special Edition 1.5 (SMW1 Hack);Super Mario World - Hack Special Edition 1.5 (SMW1 Hack);SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Hell Edition (SMW1 Hack);Super Mario World - Hell Edition (SMW1 Hack);SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Ice Village Test Hack (SMW1 Hack);Super Mario World - Ice Village Test Hack (SMW1 Hack);SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Infinity 2 - The Cursed Gem;Super Mario World - Infinity 2 - The Cursed Gem;SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Jazz411's Super Mario World (SMW1 Hack);Super Mario World - Jazz411's Super Mario World (SMW1 Hack);SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Just Another Mario Hack (SMW1 Hack);Super Mario World - Just Another Mario Hack (SMW1 Hack);SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Koopa Troopa (SMW1 Hack);Super Mario World - Koopa Troopa (SMW1 Hack);SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Kyouji's Mario World (SMW1 Hack);Super Mario World - Kyouji's Mario World (SMW1 Hack);SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Le Avventure di Mario 1;Super Mario World - Le Avventure di Mario 1;SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Le Avventure di Mario 2;Super Mario World - Le Avventure di Mario 2;SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Le Avventure di Mario 3;Super Mario World - Le Avventure di Mario 3;SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Legend of Luigi (SMW1 Hack);Super Mario World - Legend of Luigi (SMW1 Hack);SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Lost in Monochrome Land (U) [!];Super Mario World - Lost in Monochrome Land (U) [!];SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Luigi & The Island Of Mystery;Super Mario World - Luigi & The Island Of Mystery;SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Luigis Adventure Overseas;Super Mario World - Luigis Adventure Overseas;SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Luigis Adventure Overseas 3;Super Mario World - Luigis Adventure Overseas 3;SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Mario Gives Up 1;Super Mario World - Mario Gives Up 1;SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Mario Gives Up 2;Super Mario World - Mario Gives Up 2;SMW-Hacks;;;;;;;;;;;;;;
Super Mario World - Mario Legacy 6.0 (SMW1 Hack);Super Mario World - Mario Legacy 6.0 (SMW1 Hack);SMW-Hacks;;;;;;;;;;;;;;
