#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - GoldenEye (USA);007 - GoldenEye (USA);Nintendo 64 Mupen;;;;;;;;;;;;;;
007 - The World Is Not Enough (USA);007 - The World Is Not Enough (USA);Nintendo 64 Mupen;;2000;Electronic Arts;Action / Shooter;4+;;;;;;;;;
1080 Snowboarding (Japan, USA) (En,Ja);1080 Snowboarding (Japan, USA) (En,Ja);Nintendo 64 Mupen;;1998;Nintendo;Sports;2;;;;;;;;;
AeroFighters Assault (USA);AeroFighters Assault (USA);Nintendo 64 Mupen;;1997;Video System;Action / Flight Simulator;2;;;;;;;;;
AeroGauge (USA);AeroGauge (USA);Nintendo 64 Mupen;;1998;ASCII Entertainment Software;Racing;2;;;;;;;;;
Aidyn Chronicles - The First Mage (USA);Aidyn Chronicles - The First Mage (USA);Nintendo 64 Mupen;;2001;THQ;Role-Playing;1;;;;;;;;;
Air Boarder 64 (Europe);Air Boarder 64 (Europe);Nintendo 64 Mupen;;1998;Human Entertainment, GMI;Sports;2;;;;;;;;;
All Star Tennis '99 (USA);All Star Tennis '99 (USA);Nintendo 64 Mupen;;1999;Ubisoft;Sports;4+;;;;;;;;;
All-Star Baseball '99 (USA);All-Star Baseball '99 (USA);Nintendo 64 Mupen;;1998;Acclaim;Sports;4+;;;;;;;;;
All-Star Baseball 2000 (USA);All-Star Baseball 2000 (USA);Nintendo 64 Mupen;;1999;Acclaim;Sports;4+;;;;;;;;;
All-Star Baseball 2001 (USA);All-Star Baseball 2001 (USA);Nintendo 64 Mupen;;2000;Acclaim;Sports;4+;;;;;;;;;
Armorines - Project S.W.A.R.M. (USA);Armorines - Project S.W.A.R.M. (USA);Nintendo 64 Mupen;;1999;Acclaim;Action / Shooter;4+;;;;;;;;;
Army Men - Air Combat (USA);Army Men - Air Combat (USA);Nintendo 64 Mupen;;2000;3DO;Action;4+;;;;;;;;;
Army Men - Sarge's Heroes (USA);Army Men - Sarge's Heroes (USA);Nintendo 64 Mupen;;2000;3DO;Action / Shooter;2;;;;;;;;;
Army Men - Sarge's Heroes 2 (USA);Army Men - Sarge's Heroes 2 (USA);Nintendo 64 Mupen;;2000;3DO;Action;4+;;;;;;;;;
Asteroids Hyper 64 (USA);Asteroids Hyper 64 (USA);Nintendo 64 Mupen;;1999;Crave;Action / Puzzle;4+;;;;;;;;;
Automobili Lamborghini (USA);Automobili Lamborghini (USA);Nintendo 64 Mupen;;1997;Titus;Racing;4+;;;;;;;;;
Banjo-Kazooie (USA) (Rev A);Banjo-Kazooie (USA) (Rev A);Nintendo 64 Mupen;;1998;Nintendo;Adventure;1;;;;;;;;;
Banjo-Tooie (USA);Banjo-Tooie (USA);Nintendo 64 Mupen;;2000;Nintendo;Adventure;1;;;;;;;;;
Bassmasters 2000 (USA);Bassmasters 2000 (USA);Nintendo 64 Mupen;;1999;THQ;Sports;2;;;;;;;;;
Batman Beyond - Return of the Joker (USA);Batman Beyond - Return of the Joker (USA);Nintendo 64 Mupen;;2000;Ubisoft;Action / Adventure;1;;;;;;;;;
BattleTanx (USA);BattleTanx (USA);Nintendo 64 Mupen;;1998;3DO;Action;4+;;;;;;;;;
BattleTanx - Global Assault (USA);BattleTanx - Global Assault (USA);Nintendo 64 Mupen;;1999;3DO;Action;4+;;;;;;;;;
Battlezone - Rise of the Black Dogs (USA);Battlezone - Rise of the Black Dogs (USA);Nintendo 64 Mupen;;2000;Crave Entertainment;Action;4+;;;;;;;;;
Beetle Adventure Racing! (USA) (En,Fr,De);Beetle Adventure Racing! (USA) (En,Fr,De);Nintendo 64 Mupen;;1999;Electronic Arts;Racing;4+;;;;;;;;;
Big Mountain 2000 (USA);Big Mountain 2000 (USA);Nintendo 64 Mupen;;2000;Imagineer Co., Ltd.;Sports;4+;;;;;;;;;
Bio F.R.E.A.K.S. (USA);Bio F.R.E.A.K.S. (USA);Nintendo 64 Mupen;;;;;;;;;;;;;;
Blast Corps (USA) (Rev A);Blast Corps (USA) (Rev A);Nintendo 64 Mupen;;1997;Nintendo;Action / Puzzle;1;;;;;;;;;
Blues Brothers 2000 (USA);Blues Brothers 2000 (USA);Nintendo 64 Mupen;;2000;Titus Software;Music / Platform;1;;;;;;;;;
Body Harvest (USA);Body Harvest (USA);Nintendo 64 Mupen;;1998;Midway;Action / Shooter;2;;;;;;;;;
Bomberman 64 (USA);Bomberman 64 (USA);Nintendo 64 Mupen;;1997;Nintendo;Platform;4+;;;;;;;;;
Bomberman 64 - The Second Attack! (USA);Bomberman 64 - The Second Attack! (USA);Nintendo 64 Mupen;;2000;Vatical Entertainment;Action;4+;;;;;;;;;
Bomberman Hero (USA);Bomberman Hero (USA);Nintendo 64 Mupen;;1998;Nintendo;Action;1;;;;;;;;;
Bottom of the 9th (USA);Bottom of the 9th (USA);Nintendo 64 Mupen;;1999;Konami;Sports;2;;;;;;;;;
Brunswick Circuit Pro Bowling (USA);Brunswick Circuit Pro Bowling (USA);Nintendo 64 Mupen;;1999;THQ;Sports;4+;;;;;;;;;
Buck Bumble (USA);Buck Bumble (USA);Nintendo 64 Mupen;;1998;Ubisoft;Action / Shooter;2;;;;;;;;;
Bug's Life, A (USA);Bug's Life, A (USA);Nintendo 64 Mupen;;;;;;;;;;;;;;
Bust-A-Move '99 (USA);Bust-A-Move '99 (USA);Nintendo 64 Mupen;;1999;Acclaim;Puzzle;4+;;;;;;;;;
Bust-A-Move 2 - Arcade Edition (USA);Bust-A-Move 2 - Arcade Edition (USA);Nintendo 64 Mupen;;1998;Acclaim;Puzzle;2;;;;;;;;;
California Speed (USA);California Speed (USA);Nintendo 64 Mupen;;1999;Midway;Racing;2;;;;;;;;;
Carmageddon 64 (USA);Carmageddon 64 (USA);Nintendo 64 Mupen;;2000;Titus Entertainment;Racing;2;;;;;;;;;
Castlevania (USA) (Rev B);Castlevania (USA) (Rev B);Nintendo 64 Mupen;;1999;Konami;Action / Adventure / Platform;1;;;;;;;;;
Castlevania - Legacy of Darkness (USA);Castlevania - Legacy of Darkness (USA);Nintendo 64 Mupen;;1999;Konami;Action / Platform;1;;;;;;;;;
Centre Court Tennis (Europe);Centre Court Tennis (Europe);Nintendo 64 Mupen;;1999;Hudson;Sports;;;;;;;;;;
Chameleon Twist (USA);Chameleon Twist (USA);Nintendo 64 Mupen;;1997;Sunsoft;Platform;4+;;;;;;;;;
Chameleon Twist 2 (USA);Chameleon Twist 2 (USA);Nintendo 64 Mupen;;1999;Sunsoft;Platform;1;;;;;;;;;
Charlie Blast's Territory (USA);Charlie Blast's Territory (USA);Nintendo 64 Mupen;;1999;Kemco;Puzzle;4+;;;;;;;;;
Chopper Attack (USA);Chopper Attack (USA);Nintendo 64 Mupen;;1998;Midway;Action / Shooter;1;;;;;;;;;
Clay Fighter - Sculptor's Cut (USA);Clay Fighter - Sculptor's Cut (USA);Nintendo 64 Mupen;;1998;Interplay;Fighting;2;;;;;;;;;
Clay Fighter 63 1-3 (USA);Clay Fighter 63 1-3 (USA);Nintendo 64 Mupen;;;;;;;;;;;;;;
Command & Conquer (USA);Command & Conquer (USA);Nintendo 64 Mupen;;1999;Nintendo;Strategy;1;;;;;;;;;
Conker's Bad Fur Day (USA);Conker's Bad Fur Day (USA);Nintendo 64 Mupen;;2001;Rare Ltd.;Platform;4+;;;;;;;;;
Cruis'n Exotica (USA);Cruis'n Exotica (USA);Nintendo 64 Mupen;;1998;Midway Games;Action / Racing;4+;;;;;;;;;
Cruis'n USA (USA) (Rev B);Cruis'n USA (USA) (Rev B);Nintendo 64 Mupen;;1996;Nintendo;Racing;2;;;;;;;;;
Cruis'n World (USA);Cruis'n World (USA);Nintendo 64 Mupen;;1996;Midway Games;Racing;4+;;;;;;;;;
