#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
88games;'88 Games;Final Burn Alpha;;1988;Konami;Sports / Track & Field;4P alt / 2P sim;0;;good;1;raster;;;;3
99lstwark;'99: The Last War (Kyugo);Final Burn Alpha;repulse;1985;Crux / Kyugo;Shooter / Gallery;2P alt;90;joystick (8-way);good;1;raster;repulse;;;2
99lstwar;'99: The Last War (set 1);Final Burn Alpha;repulse;1985;Crux / Proma;Shooter / Gallery;2P alt;90;joystick (8-way);good;1;raster;repulse;;;2
99lstwara;'99: The Last War (set 2);Final Burn Alpha;repulse;1985;Crux / Proma;Shooter / Gallery;2P alt;90;joystick (8-way);good;1;raster;repulse;;;2
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);Final Burn Alpha;gtmr;1994;Kaneko;Driving / Race;2P alt;0;joystick (8-way),paddle,dial;good;1;raster;gtmr;;;2
gtmr;1000 Miglia: Great 1000 Miles Rally (94/07/18);Final Burn Alpha;;1994;Kaneko;Driving / Race;2P alt;0;joystick (8-way),paddle,dial;good;1;raster;;;;2
1941j;1941: Counter Attack (Japan);Final Burn Alpha;1941;1990;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;1941;;;2
1941u;1941: Counter Attack (USA 900227);Final Burn Alpha;1941;1990;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;1941;;;2
1941;1941: Counter Attack (World 900227);Final Burn Alpha;;1990;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;;;;2
1941r1;1941: Counter Attack (World);Final Burn Alpha;1941;1990;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;1941;;;2
1942c64;1942 (C64 Music);Final Burn Alpha;1942;2015;hack by Minwah;;2P alt;270;joystick (8-way);good;1;raster;1942;;;2
1942b;1942 (First Version);Final Burn Alpha;1942;1984;Capcom;Shooter / Flying Vertical;2P alt;270;joystick (8-way);good;1;raster;1942;;;2
1942a;1942 (Revision A);Final Burn Alpha;1942;1984;Capcom;Shooter / Flying Vertical;2P alt;270;joystick (8-way);good;1;raster;1942;;;2
1942abl;1942 (Revision A, bootleg);Final Burn Alpha;1942;1984;bootleg;Shooter / Flying Vertical;2P alt;270;joystick (8-way);good;1;raster;1942;;;2
1942;1942 (Revision B);Final Burn Alpha;;1984;Capcom;Shooter / Flying Vertical;2P alt;270;joystick (8-way);good;1;raster;;;;2
1942w;1942 (Williams Electronics license);Final Burn Alpha;1942;1985;Capcom (Williams Electronics license);Shooter / Flying Vertical;2P alt;270;joystick (8-way);good;1;raster;1942;;;2
1943kai;1943 Kai: Midway Kaisen (Japan);Final Burn Alpha;;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;;;;2
1943b;1943: Battle of Midway (bootleg, hack of Japan set);Final Burn Alpha;1943;1987;bootleg;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;1943;;;2
1943ja;1943: Midway Kaisen (Japan);Final Burn Alpha;1943;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;1943;;;2
1943j;1943: Midway Kaisen (Japan, Rev B);Final Burn Alpha;1943;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;1943;;;2
1943;1943: The Battle of Midway (Euro);Final Burn Alpha;;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;;;;2
1943u;1943: The Battle of Midway (US, Rev C);Final Burn Alpha;1943;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;1943;;;2
1944j;1944: The Loop Master (Japan 000620);Final Burn Alpha;1944;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;2P sim;0;joystick (8-way);good;1;raster;1944;;;2
1944d;1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg);Final Burn Alpha;1944;2000;bootleg;Shooter / Flying Vertical;2P sim;0;joystick (8-way);good;1;raster;1944;;;2
1944;1944: The Loop Master (USA 000620);Final Burn Alpha;;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;2P sim;0;joystick (8-way);good;1;raster;;;;2
bgareggabl;1945 Part-2 (Chinese hack of Battle Garegga);Final Burn Alpha;bgaregga;1996;bootleg;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;bgaregga;;;3
1945kiii;1945k III;Final Burn Alpha;;2000;Oriental Soft;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;;;;4
19xxar1;19XX: The War Against Destiny (Asia 951207);Final Burn Alpha;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;19xx;;;2
19xxa;19XX: The War Against Destiny (Asia 960104);Final Burn Alpha;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;19xx;;;2
19xxb;19XX: The War Against Destiny (Brazil 951218);Final Burn Alpha;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;19xx;;;2
19xxh;19XX: The War Against Destiny (Hispanic 951218);Final Burn Alpha;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;19xx;;;2
19xxjr2;19XX: The War Against Destiny (Japan 951207);Final Burn Alpha;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;19xx;;;2
19xxjr1;19XX: The War Against Destiny (Japan 951225);Final Burn Alpha;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;19xx;;;2
19xxj;19XX: The War Against Destiny (Japan 960104, yellow case);Final Burn Alpha;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;19xx;;;2
19xxd;19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg);Final Burn Alpha;19xx;1996;bootleg;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;19xx;;;2
19xx;19XX: The War Against Destiny (USA 951207);Final Burn Alpha;;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way);good;1;raster;;;;2
openice;2 On 2 Open Ice Challenge (rev 1.21);Final Burn Alpha;;1995;Midway;Sports / Hockey;4P sim;0;joystick (8-way);good;1;raster;;;;3
2020bb;2020 Super Baseball (set 1);Final Burn Alpha;;1991;SNK / Pallas;Sports / Baseball;2P sim;0;joystick (8-way);good;1;raster;neogeo;;;4
2020bba;2020 Super Baseball (set 2);Final Burn Alpha;2020bb;1991;SNK / Pallas;Sports / Baseball;2P sim;0;joystick (8-way);good;1;raster;2020bb;;;4
2020bbh;2020 Super Baseball (set 3);Final Burn Alpha;2020bb;1991;SNK / Pallas;Sports / Baseball;2P sim;0;joystick (8-way);good;1;raster;2020bb;;;4
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);Final Burn Alpha;;1993;SNK;Sports / Wrestling;2P sim;0;joystick (8-way);good;1;raster;neogeo;;;4
4enraya;4 En Raya (set 1);Final Burn Alpha;;1990;IDSA;Puzzle / Match;2P sim;0;joystick (2-way);good;1;raster;;;;2
4enrayaa;4 En Raya (set 2);Final Burn Alpha;4enraya;1990;IDSA;Puzzle / Match;2P alt;0;joystick (2-way);good;1;raster;4enraya;;;2
4in1;4 Fun in 1;Final Burn Alpha;;1981;Armenia / Food and Fun;Multiplay / Compilation;2P alt;90;joystick (8-way);imperfect;1;raster;;;;1
4dwarrio;4-D Warriors (315-5162);Final Burn Alpha;;1985;Coreland / Sega;Shooter / Flying Horizontal;2P alt;0;joystick (8-way);good;1;raster;;;;2
1942h;42;Final Burn Alpha;1942;198?;hack (Two Bit Score?);Shooter / Flying Vertical;2P alt;270;joystick (8-way);good;1;raster;1942;;;2
600;600;Final Burn Alpha;turtles;1981;Konami;Maze;2P alt;90;joystick (4-way);good;1;raster;turtles;;;1
64streetj;64th. Street - A Detective Story (Japan);Final Burn Alpha;64street;1991;Jaleco;Fighter / 2.5D;2P sim;0;joystick (8-way);good;1;raster;64street;;;2
64street;64th. Street - A Detective Story (World);Final Burn Alpha;;1991;Jaleco;Fighter / 2.5D;2P sim;0;joystick (8-way);good;1;raster;;;;2
7ordi;7 Ordi (Korea);Final Burn Alpha;;2002;Yun Sung;Casino / Cards;1P;0;;good;1;raster;;;;6
800fath;800 Fathoms;Final Burn Alpha;mariner;1981;Amenip (US Billiards Inc. license);Shooter / Misc. Horizontal;2P alt;90;joystick (8-way);imperfect;1;raster;mariner;;;2
ad2083;A. D. 2083;Final Burn Alpha;;1983;Midcoin;Shooter / Field;2P alt;90;joystick (8-way);imperfect;1;raster;;;;2
abcopj;A.B. Cop (Japan) (FD1094 317-0169b);Final Burn Alpha;abcop;1990;Sega;Driving / Race (chase view) Bike;1P;0;paddle,pedal;good;1;raster;abcop;;;1
