#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
88games;'88 Games;Arcade;;1988;Konami;Sports / Track & Field;;;;;0;;;;;
99lstwark;'99 The Last War (Kyugo);Arcade;repulse;1985;Crux / Kyugo;Shooter / Gallery;;;;;0;;;;;
99lstwar;'99 The Last War (set 1);Arcade;repulse;1985;Crux / Proma;Shooter / Gallery;;;;;0;;;;;
99lstwara;'99 The Last War (set 2);Arcade;repulse;1985;Crux / Proma;Shooter / Gallery;;;;;0;;;;;
005;005;Arcade;;1981;Sega;Maze / Shooter Small;;;;;0;;;;;
1on1gov;1 on 1 Government (Japan);Arcade;;2000;Tecmo;Sports / Basketball;;;;;0;;;;;
10yard85;10-Yard Fight '85 (US, Taito license);Arcade;10yard;1985;Irem (Taito license);Sports / Amer. Football;;;;;0;;;;;
10yardj;10-Yard Fight (Japan);Arcade;10yard;1983;Irem;Sports / Amer. Football;;;;;0;;;;;
10yard;10-Yard Fight (World, set 1);Arcade;;1983;Irem;Sports / Amer. Football;;;;;0;;;;;
gtmra;1000 Miglia Great 1000 Miles Rally (94/06/13);Arcade;gtmr;1994;Kaneko;Driving / Race;;;;;0;;;;;
gtmr;1000 Miglia Great 1000 Miles Rally (94/07/18);Arcade;;1994;Kaneko;Driving / Race;;;;;0;;;;;
cprogolf18;18 Challenge Pro Golf (DECO Cassette, Japan);Arcade;cprogolf;1982;Data East Corporation;Sports / Golf;;;;;0;;;;;
progolf;18 Holes Pro Golf (set 1);Arcade;;1981;Data East Corporation;Sports / Golf;;;;;0;;;;;
1941j;1941 Counter Attack (Japan);Arcade;1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941u;1941 Counter Attack (USA 900227);Arcade;1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941;1941 Counter Attack (World 900227);Arcade;;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941r1;1941 Counter Attack (World);Arcade;1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1942b;1942 (First Version);Arcade;1942;1984;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
pc_1942;1942 (PlayChoice-10);Arcade;;1987;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1942a;1942 (Revision A);Arcade;1942;1984;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1942abl;1942 (Revision A, bootleg);Arcade;1942;1984;bootleg;Shooter / Flying Vertical;;;;;0;;;;;
1942;1942 (Revision B);Arcade;;1984;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1942w;1942 (Williams Electronics license);Arcade;1942;1985;Capcom (Williams Electronics license);Shooter / Flying Vertical;;;;;0;;;;;
1943kai;1943 Kai Midway Kaisen (Japan);Arcade;;1987;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1943b;1943 Battle of Midway (bootleg, hack of Japan set);Arcade;1943;1987;bootleg;Shooter / Flying Vertical;;;;;0;;;;;
1943ja;1943 Midway Kaisen (Japan);Arcade;1943;1987;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1943j;1943 Midway Kaisen (Japan, Rev B);Arcade;1943;1987;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1943;1943 The Battle of Midway (Euro);Arcade;;1987;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1943u;1943 The Battle of Midway (US, Rev C);Arcade;1943;1987;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1944j;1944 The Loop Master (Japan 000620);Arcade;1944;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;;;;;0;;;;;
1944d;1944 The Loop Master (USA 000620 Phoenix Edition) (bootleg);Arcade;1944;2000;bootleg;Shooter / Flying Vertical;;;;;0;;;;;
1944;1944 The Loop Master (USA 000620);Arcade;;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;;;;;0;;;;;
bgareggabl;1945 Part-2 (Chinese hack of Battle Garegga);Arcade;bgaregga;1996;bootleg;Shooter / Flying Vertical;;;;;0;;;;;
1945kiii;1945k III;Arcade;;2000;Oriental Soft;Shooter / Flying Vertical;;;;;0;;;;;
spikes91;1991 Spikes (Italian bootleg, set 1);Arcade;pspikes;1991;bootleg;Sports / Volleyball;;;;;0;;;;;
spikes91b;1991 Spikes (Italian bootleg, set 2);Arcade;pspikes;1991;bootleg;Sports / Volleyball;;;;;0;;;;;
19xxar1;19XX The War Against Destiny (Asia 951207);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxa;19XX The War Against Destiny (Asia 960104);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxb;19XX The War Against Destiny (Brazil 951218);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxh;19XX The War Against Destiny (Hispanic 951218);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxjr2;19XX The War Against Destiny (Japan 951207);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxjr1;19XX The War Against Destiny (Japan 951225);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxj;19XX The War Against Destiny (Japan 960104, yellow case);Arcade;19xx;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
19xxd;19XX The War Against Destiny (USA 951207 Phoenix Edition) (bootleg);Arcade;19xx;1996;bootleg;Shooter / Flying Vertical;;;;;0;;;;;
19xx;19XX The War Against Destiny (USA 951207);Arcade;;1996;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
openice;2 On 2 Open Ice Challenge (rev 1.21);Arcade;;1995;Midway;Sports / Hockey;;;;;0;;;;;
2020bb;2020 Super Baseball (set 1);Arcade;;1991;SNK / Pallas;Sports / Baseball;;;;;0;;;;;
2020bba;2020 Super Baseball (set 2);Arcade;2020bb;1991;SNK / Pallas;Sports / Baseball;;;;;0;;;;;
2020bbh;2020 Super Baseball (set 3);Arcade;2020bb;1991;SNK / Pallas;Sports / Baseball;;;;;0;;;;;
m21;21 (Mirco);Arcade;hitme;1976;Mirco Games;Casino / Cards;;;;;0;;;;;
ind250cc;250 CC;Arcade;;1992;Inder;Electromechanical / Pinball;;;;;0;;;;;
280zzzap;280-ZZZAP;Arcade;;1976;Dave Nutting Associates / Midway;Driving / 1st Person;;;;;0;;;;;
3bagflnz;3 Bags Full (3VXFC5345, New Zealand);Arcade;3bagflvt;1996;Aristocrat;Casino / Reels;;;;;0;;;;;
3bagflvt;3 Bags Full (5VXFC790, Victoria);Arcade;;1996;Aristocrat;Casino / Reels;;;;;0;;;;;
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);Arcade;;1993;SNK;Sports / Wrestling;;;;;0;;;;;
3on3dunk;3 On 3 Dunk Madness (US, prototype? 1997/02/04);Arcade;;1996;Video System Co.;Sports / Basketball;;;;;0;;;;;
bowl3d;3-D Bowling;Arcade;;1978;Meadows Games, Inc.;Sports / Bowling;;;;;0;;;;;
30test;30 Test (Remake);Arcade;;1997;Namco;Misc.;;;;;0;;;;;
39in1;39 in 1 MAME bootleg;Arcade;;2004;bootleg;Multiplay / Compilation;;;;;0;;;;;
3x3puzzl;3X3 Puzzle (Enterprise);Arcade;;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzla;3X3 Puzzle (Normal);Arcade;3x3puzzl;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
4enraya;4 En Raya (set 1);Arcade;;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enrayaa;4 En Raya (set 2);Arcade;4enraya;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4in1;4 Fun in 1;Arcade;;1981;Armenia / Food and Fun;Multiplay / Compilation;;;;;0;;;;;
4dwarrio;4-D Warriors (315-5162);Arcade;;1985;Coreland / Sega;Shooter / Flying Horizontal;;;;;0;;;;;
1942h;42;Arcade;1942;198?;hack (Two Bit Score?);Shooter / Flying Vertical;;;;;0;;;;;
jantotsu;4nin-uchi Mahjong Jantotsu;Arcade;;1983;Sanritsu;Tabletop / Mahjong;;;;;0;;;;;
600;600;Arcade;turtles;1981;Konami;Maze;;;;;0;;;;;
64streetj;64th. Street - A Detective Story (Japan);Arcade;64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64street;64th. Street - A Detective Story (World);Arcade;;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
7ordi;7 Ordi (Korea);Arcade;;2002;Yun Sung;Casino / Cards;;;;;0;;;;;
7mezzo;7 e Mezzo;Arcade;;198?;"&lt;unknown&gt;";Casino / Cards;;;;;0;;;;;
720gr1;720 Degrees (German, rev 1);Arcade;720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720g;720 Degrees (German, rev 2);Arcade;720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720r1;720 Degrees (rev 1);Arcade;720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720r2;720 Degrees (rev 2);Arcade;720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720r3;720 Degrees (rev 3);Arcade;720;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
720;720 Degrees (rev 4);Arcade;;1986;Atari Games;Sports / Skateboarding;;;;;0;;;;;
7jigen;7jigen no Youseitachi - Mahjong 7 Dimensions (Japan);Arcade;;1990;Dynax;Tabletop / Mahjong * Mature *;;;;;0;;;;;
800fath;800 Fathoms;Arcade;mariner;1981;Amenip (US Billiards Inc. license);Shooter / Misc. Horizontal;;;;;0;;;;;
9ballsht;9-Ball Shootout (set 1);Arcade;;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht2;9-Ball Shootout (set 2);Arcade;9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
9ballsht3;9-Ball Shootout (set 3);Arcade;9ballsht;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;;;;;0;;;;;
