#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - A View to a Kill (Europe);007 - A View to a Kill (Europe);Sinclair ZX Spectrum;;1985;Domark;Action;;;;;0;;;;;
007 - Licence to Kill (Europe);007 - Licence to Kill (Europe);Sinclair ZX Spectrum;;1989;Domark;Action;;;;;0;;;;;
007 - The Living Daylights (Europe);007 - The Living Daylights (Europe);Amstrad CPC;;1987;Domark;Action;;;;;0;;;;;
007 - The Living Daylights (Europe);007 - The Living Daylights (Europe);Sinclair ZX Spectrum;;1987;Domark;Action;;;;;0;;;;;
007 - The Spy Who Loved Me (Europe);007 - The Spy Who Loved Me (Europe);Sinclair ZX Spectrum;;1990;Domark;Action;;;;;0;;;;;
007 - The World Is Not Enough (USA, Europe);007 - The World Is Not Enough (USA, Europe);Nintendo Game Boy Color;;2001;Electronic Arts;Action;;;;;0;;;;;
1,000 Kung-Fu Maniacs! (Europe) (Unl);1,000 Kung-Fu Maniacs! (Europe) (Unl);Commodore 64;;2011;Psytronik Software;Beat-'Em-Up;;;;;0;;;;;
102 Dalmatians - Puppies to the Rescue (USA);102 Dalmatians - Puppies to the Rescue (USA);Sega Dreamcast;;2000;Eidos Interactive;Beat-'Em-Up;;;;;0;;;;;
16t (Japan);16t (Japan);Sega Genesis;;1991;Sega;Action;;;;;0;;;;;
19 Part 1 - Boot Camp (Europe);19 Part 1 - Boot Camp (Europe);Sinclair ZX Spectrum;;1988;Cascade Games;Action;;;;;0;;;;;
19 Part One - Boot Camp (Europe);19 Part One - Boot Camp (Europe);Commodore 64;;1988;Cascade Games Ltd.;Action;;;;;0;;;;;
1985 - The Day After (Europe);1985 - The Day After (Europe);Commodore 64;;1985;Mastertronic;Action;;;;;0;;;;;
1k-Mini-Bdash (USA) (Unl);1k-Mini-Bdash (USA) (Unl);Commodore 64;;2008;Simon Stelling;Action;;;;;0;;;;;
2 Games in 1! - Dragon Ball Z - Buu's Fury + Dragon Ball GT - Transformation (USA);2 Games in 1! - Dragon Ball Z - Buu's Fury + Dragon Ball GT - Transformation (USA);Nintendo Game Boy Advance;;2006;Atari;Beat-'Em-Up/Role-Playing;;;;;0;;;;;
2 Games in One! - Gauntlet + Rampart (USA);2 Games in One! - Gauntlet + Rampart (USA);Nintendo Game Boy Advance;;2005;DSI Games;Action;;;;;0;;;;;
2 Games in One! - Paperboy + Rampage (USA);2 Games in One! - Paperboy + Rampage (USA);Nintendo Game Boy Advance;;2005;DSI Games;Action;;;;;0;;;;;
